"sovereignt","count","continent","cont_nr"
"France",1,"Europe",1
"Australia",2,"Oceania",6
"Austria",3,"Europe",1
"Burundi",1,"Africa",2
"Brazil",3,"S.America",5
"Canada",2,"N.America",4
"China",1,"Asia",3
"Germany",2,"Europe",1
"Spain",4,"Europe",1
"United Kingdom",10,"Europe",1
"France",1,"Europe",1
"Ghana",1,"Africa",2
"Hungary",1,"Europe",1
"India",3,"Asia",3
"Japan",2,"Asia",3
"Kenya",1,"Africa",2
"South Korea",1,"Asia",3
"Mali",1,"Africa",2
"Mauritania",1,"Africa",2
"France",1,"Europe",1
"Nigeria",1,"Africa",2
"Netherlands",2,"Europe",1
"Pakistan",1,"Asia",3
"United States of America",5,"N.America",4
"Portugal",1,"Europe",1
"Russia",1,"Asia",3
"Slovakia",1,"Europe",1
"Ukraine",1,"Europe",1
"Uruguay",1,"S.America",5
"Vietnam",1,"Asia",3
"Italy",1,"Europe",1


